date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:11	22241/22241	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2015:13:57%20GMT	http://www.narutox.ge/	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/index.html	(from )
19:13:11	184/184	---MCZ	200	added ('OK')	text/plain	date:Sun,%2026%20Jun%202022%2015:13:04%20GMT	http://www.narutox.ge/robots.txt		(from )
19:13:12	20287/20287	---MCZ	200	added ('OK')	text/css	etag:W/%2260006cea-4f3f%22	http://www.narutox.ge/Anime/slider/styles.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/Anime/slider/styles.css	(from http://www.narutox.ge/)
19:13:12	676/676	---MCZ	200	added ('OK')	text/css	etag:W/%225f26d20f-2a4%22	http://www.narutox.ge/nx/fonts/alk_rounded/alk-rounded-mtav-med.min.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/nx/fonts/alk_rounded/alk-rounded-mtav-med.min.css	(from http://www.narutox.ge/)
19:13:12	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jun%202022%2015:13:06%20GMT	http://www.narutox.ge/GET	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/GET	(from http://www.narutox.ge/)
19:13:13	78/78	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jun%202022%2015:13:07%20GMT	http://www.narutox.ge/php/livesearch/live.php?q=	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/php/livesearch/live03d2.html	(from http://www.narutox.ge/)
19:13:13	24327/24327	---MCZ	200	added ('OK')	text/css	etag:W/%226255352e-5f07%22	http://www.narutox.ge/.s/src/base.min.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/base.min.css	(from http://www.narutox.ge/)
19:13:13	25596/25596	---MCZ	200	added ('OK')	text/css	etag:W/%22623c2953-63fc%22	http://www.narutox.ge/.s/src/layer7.min.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/layer7.min.css	(from http://www.narutox.ge/)
19:13:14	4552/4552	---MCZ	200	added ('OK')	text/css	etag:W/%22628cd15d-11c8%22	http://www.narutox.ge/.s/src/ulightbox/ulightbox.min.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/ulightbox/ulightbox.min.css	(from http://www.narutox.ge/)
19:13:15	2528/2528	---MCZ	200	added ('OK')	text/css	etag:W/%2261a758f3-9e0%22	http://www.narutox.ge/.s/src/social4.css	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/social4.css	(from http://www.narutox.ge/)
19:13:16	22291/22291	---MCZ	200	added ('OK')	text/javascript	etag:W/%22628cd15d-5713%22	http://www.narutox.ge/.s/src/ulightbox/ulightbox.min.js	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/ulightbox/ulightbox.min.js	(from http://www.narutox.ge/)
19:13:16	97163/97163	---MCZ	200	added ('OK')	text/javascript	etag:W/%225c87d1f3-17b8b%22	http://www.narutox.ge/.s/src/jquery-1.12.4.min.js	C:/My%20Web%20Sites/NarutoX/www.narutox.ge/.s/src/jquery-1.12.4.min.js	(from http://www.narutox.ge/)
